Date,Activity,Start time,End time,Duration,Minutes
31-12-2023,Tracker Making,17:37:16,17:37:19,00:00:03,0.05
31-12-2023,Personal prayer,20:15:58,20:37:02,00:21:04,21.07
01-01-2024,Sem Exam,02:18:48,03:12:43,00:53:55,53.92
01-01-2024,Personal Prayer,04:22:10,04:30:11,00:08:01,8.02
01-01-2024,Sem Exam,05:16:24,05:41:43,00:25:19,25.32
01-01-2024,Sem Exam,05:49:56,06:19:52,00:29:56,29.93
01-01-2024,Sem Exam,07:37:28,07:58:58,00:21:30,21.5
01-01-2024,Sem Exam,09:08:27,09:32:40,00:24:13,24.22
01-01-2024,Sem Exam,11:28:45,12:26:50,00:58:05,58.08
01-01-2024,Sem Exam,12:49:12,13:29:24,00:40:12,40.2
2024-01-02,Sem Exam,00:50:51,01:57:12,1:06:21,66.35
2024-01-02,Sem Exam,05:31:21,06:41:14,1:09:53,69.88
2024-01-02,Sem Exam,07:35:06,08:22:20,0:47:14,47.23
2024-01-02,Sem Exam,09:00:54,09:32:00,0:31:06,31.1
